,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.1784,0.12,-1.481,0.159,-0.435,0.078,
shared_model[T.shared],-0.063,0.147,-0.429,0.674,-0.376,0.25,
shared_model[T.sharedWithIndicator],-0.0378,0.141,-0.268,0.792,-0.338,0.262,
window_size,0.3671,0.059,6.204,0.0,0.241,0.493,***
"np.power(window_size, 2)",0.148,0.07,2.104,0.053,-0.002,0.298,.
