,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.2371,0.106,-2.239,0.041,-0.463,-0.011,*
shared_model[T.shared],-0.048,0.129,-0.372,0.715,-0.323,0.227,
shared_model[T.sharedWithIndicator],-0.0029,0.124,-0.023,0.982,-0.267,0.261,
window_size,0.5312,0.052,10.215,0.0,0.42,0.642,***
"np.power(window_size, 2)",0.3411,0.062,5.517,0.0,0.209,0.473,***
