,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.5197,0.014,-37.753,0.0,-0.547,-0.493,***
feature[T.sentiment_Vader],0.013,0.012,1.044,0.298,-0.012,0.038,
feature[T.sentiment_bert],-0.0005,0.012,-0.043,0.966,-0.025,0.024,
shared_model[T.shared],0.0351,0.012,2.807,0.005,0.01,0.06,**
shared_model[T.sharedWithIndicator],-0.0137,0.012,-1.097,0.274,-0.038,0.011,
source[T.Twitter],0.0226,0.01,2.217,0.028,0.003,0.043,*
use_price,-0.003,0.005,-0.587,0.558,-0.013,0.007,
window_size,0.0158,0.005,3.102,0.002,0.006,0.026,**
"np.power(window_size, 2)",0.014,0.006,2.362,0.019,0.002,0.026,*
