,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.2739,0.125,-2.191,0.029,-0.52,-0.028,*
feature[T.sentiment_Vader],-0.036,0.113,-0.317,0.751,-0.259,0.187,
feature[T.sentiment_bert],-0.0045,0.113,-0.04,0.968,-0.228,0.219,
shared_model[T.shared],0.1518,0.113,1.339,0.182,-0.071,0.375,
shared_model[T.sharedWithIndicator],-0.0377,0.113,-0.333,0.74,-0.261,0.186,
source[T.Twitter],0.043,0.093,0.464,0.643,-0.14,0.226,
use_price,-0.1179,0.046,-2.545,0.012,-0.209,-0.027,*
window_size,0.0638,0.046,1.376,0.17,-0.028,0.155,
"np.power(window_size, 2)",0.2007,0.054,3.724,0.0,0.095,0.307,***
