,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.2492,0.086,-2.89,0.004,-0.419,-0.079,**
feature[T.sentiment_Vader],-0.0128,0.078,-0.164,0.87,-0.167,0.141,
feature[T.sentiment_bert],-0.0044,0.078,-0.056,0.956,-0.158,0.15,
shared_model[T.shared],0.0795,0.078,1.017,0.31,-0.075,0.234,
shared_model[T.sharedWithIndicator],-0.0287,0.078,-0.367,0.714,-0.183,0.125,
source[T.Twitter],0.0509,0.064,0.796,0.427,-0.075,0.177,
use_price,-0.0854,0.032,-2.672,0.008,-0.148,-0.022,**
window_size,0.0307,0.032,0.96,0.338,-0.032,0.094,
"np.power(window_size, 2)",0.1275,0.037,3.43,0.001,0.054,0.201,**
