,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.1528,0.119,-1.281,0.202,-0.388,0.082,
feature[T.sentiment_Vader],-0.075,0.108,-0.693,0.489,-0.288,0.138,
feature[T.sentiment_bert],0.0442,0.108,0.408,0.683,-0.169,0.257,
shared_model[T.shared],0.2204,0.108,2.037,0.043,0.007,0.434,*
shared_model[T.sharedWithIndicator],-0.0133,0.108,-0.122,0.903,-0.226,0.2,
source[T.Twitter],-0.0488,0.088,-0.551,0.582,-0.223,0.125,
use_price,-0.067,0.044,-1.516,0.131,-0.154,0.02,
window_size,0.1595,0.044,3.607,0.0,0.072,0.247,***
"np.power(window_size, 2)",0.2137,0.051,4.157,0.0,0.112,0.315,***
