,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.158,0.054,-2.936,0.004,-0.264,-0.052,**
feature[T.sentiment_Vader],-0.0341,0.049,-0.699,0.486,-0.13,0.062,
feature[T.sentiment_bert],-0.0141,0.049,-0.289,0.773,-0.11,0.082,
shared_model[T.shared],0.083,0.049,1.701,0.09,-0.013,0.179,.
shared_model[T.sharedWithIndicator],-0.0203,0.049,-0.416,0.678,-0.116,0.076,
source[T.Twitter],0.0093,0.04,0.232,0.817,-0.069,0.088,
use_price,-0.0409,0.02,-2.051,0.041,-0.08,-0.002,*
window_size,0.0539,0.02,2.704,0.007,0.015,0.093,**
"np.power(window_size, 2)",0.0889,0.023,3.831,0.0,0.043,0.135,***
