,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.9184,0.345,2.664,0.01,0.23,1.607,*
market_trend,0.0032,0.149,0.021,0.983,-0.295,0.302,
texts_in_train_set,7.676e-05,4.68e-05,1.641,0.105,-1.66e-05,0.0,
