,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.5155,0.483,3.136,0.088,-0.564,3.595,.
texts_in_test_set,0.9311,0.695,1.34,0.312,-2.059,3.921,
texts_in_train_set,0.6928,0.629,1.101,0.386,-2.014,3.399,
"np.power(texts_in_test_set, 2)",0.6753,0.209,3.231,0.084,-0.224,1.575,.
"np.power(texts_in_train_set, 2)",-0.8586,0.413,-2.081,0.173,-2.633,0.916,
