,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.2482,0.375,3.333,0.079,-0.363,2.86,.
texts_in_test_set,0.5402,0.538,1.003,0.421,-1.777,2.857,
texts_in_train_set,0.0403,0.487,0.083,0.942,-2.057,2.138,
"np.power(texts_in_test_set, 2)",0.3867,0.162,2.388,0.14,-0.31,1.083,
"np.power(texts_in_train_set, 2)",-0.2777,0.32,-0.869,0.477,-1.653,1.098,
