,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.0002,0.33,0.001,1.0,-0.662,0.662,
market_trend,-0.2123,0.143,-1.484,0.144,-0.499,0.075,
texts_in_train_set,7.087e-05,4.48e-05,1.583,0.119,-1.89e-05,0.0,
