,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.6317,1.529,1.067,0.398,-4.946,8.209,
texts_in_test_set,-1.1283,2.198,-0.513,0.659,-10.585,8.328,
texts_in_train_set,1.2306,1.99,0.618,0.599,-7.331,9.792,
"np.power(texts_in_test_set, 2)",-0.2727,0.661,-0.412,0.72,-3.117,2.572,
"np.power(texts_in_train_set, 2)",-0.8037,1.305,-0.616,0.601,-6.417,4.81,
