,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.538,0.281,1.914,0.06,-0.024,1.1,.
market_trend,-0.2162,0.122,-1.774,0.081,-0.46,0.028,.
texts_in_train_set,1.559e-05,3.81e-05,0.409,0.684,-6.07e-05,9.19e-05,
