,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.5523,0.331,1.668,0.171,-0.367,1.471,
market_trend,0.0303,0.273,0.111,0.917,-0.727,0.788,
"np.power(market_trend, 2)",0.0811,0.212,0.383,0.721,-0.507,0.67,
