,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.4235,0.184,7.727,0.016,0.631,2.216,*
texts_in_test_set,0.1695,0.265,0.64,0.588,-0.97,1.309,
texts_in_train_set,0.1245,0.24,0.519,0.655,-0.907,1.156,
"np.power(texts_in_test_set, 2)",0.0215,0.08,0.269,0.813,-0.321,0.364,
"np.power(texts_in_train_set, 2)",-0.2008,0.157,-1.277,0.33,-0.877,0.476,
