,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.305,0.148,2.057,0.05,-0.0,0.61,.
texts_in_test_set,-0.0397,0.268,-0.148,0.884,-0.592,0.513,
texts_in_train_set,0.1874,0.268,0.699,0.491,-0.365,0.74,
