,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.3594,0.329,1.093,0.336,-0.554,1.272,
market_trend,-0.057,0.271,-0.21,0.844,-0.809,0.695,
"np.power(market_trend, 2)",0.175,0.211,0.831,0.453,-0.41,0.76,
