,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.5026,0.621,2.42,0.073,-0.222,3.227,.
market_trend,0.1868,0.512,0.365,0.734,-1.234,1.608,
"np.power(market_trend, 2)",0.0056,0.398,0.014,0.989,-1.098,1.11,
