,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3062,0.391,-0.782,0.441,-1.112,0.5,
market_trend,-0.2406,0.17,-1.417,0.169,-0.59,0.109,
texts_in_train_set,8.903e-05,5.31e-05,1.677,0.106,-2.03e-05,0.0,
