,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.0831,0.268,-0.31,0.758,-0.618,0.452,
market_trend,0.4626,0.116,3.979,0.0,0.231,0.695,***
texts_in_train_set,0.0002,3.64e-05,5.588,0.0,0.0,0.0,***
