,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,2.3255,0.629,3.698,0.066,-0.38,5.031,.
texts_in_test_set,0.4412,0.904,0.488,0.674,-3.449,4.331,
texts_in_train_set,-0.0758,0.819,-0.093,0.935,-3.598,3.446,
"np.power(texts_in_test_set, 2)",-0.18,0.272,-0.662,0.576,-1.35,0.99,
"np.power(texts_in_train_set, 2)",-0.6374,0.537,-1.188,0.357,-2.947,1.672,
