,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.4133,0.155,2.669,0.056,-0.017,0.843,.
market_trend,-0.0207,0.128,-0.162,0.879,-0.375,0.334,
"np.power(market_trend, 2)",0.0288,0.099,0.29,0.786,-0.247,0.304,
