,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.1639,0.053,-3.116,0.007,-0.276,-0.052,**
shared_model[T.shared],-0.0334,0.064,-0.521,0.61,-0.17,0.103,
shared_model[T.sharedWithIndicator],-0.0428,0.061,-0.697,0.497,-0.174,0.088,
window_size,0.2128,0.026,8.237,0.0,0.158,0.268,***
"np.power(window_size, 2)",0.0988,0.031,3.218,0.006,0.033,0.164,**
