,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.1972,0.157,-1.255,0.229,-0.532,0.138,
shared_model[T.shared],-0.0825,0.192,-0.43,0.673,-0.491,0.326,
shared_model[T.sharedWithIndicator],-0.0797,0.184,-0.434,0.67,-0.471,0.312,
window_size,0.5325,0.077,6.901,0.0,0.368,0.697,***
"np.power(window_size, 2)",0.2293,0.092,2.499,0.025,0.034,0.425,*
