,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.5835,0.229,2.547,0.013,0.126,1.041,*
market_trend,0.0642,0.099,0.646,0.52,-0.134,0.262,
texts_in_train_set,9.045e-05,3.11e-05,2.91,0.005,2.84e-05,0.0,**
