,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.3424,0.323,1.059,0.294,-0.304,0.989,
market_trend,-0.1838,0.14,-1.311,0.195,-0.464,0.097,
texts_in_train_set,7.713e-05,4.39e-05,1.759,0.084,-1.06e-05,0.0,.
