,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.8068,0.363,2.224,0.03,0.079,1.534,*
market_trend,0.0438,0.157,0.278,0.782,-0.272,0.359,
texts_in_train_set,-1.758e-06,4.92e-05,-0.036,0.972,-0.0,9.69e-05,
