,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.2049,0.067,17.927,0.0,1.071,1.339,***
texts_in_test_set,0.9644,0.122,7.933,0.0,0.722,1.207,***
texts_in_train_set,-0.6111,0.122,-5.027,0.0,-0.854,-0.368,***
