,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.2044,0.066,18.159,0.0,1.072,1.337,***
texts_in_test_set,0.7581,0.12,6.32,0.0,0.519,0.997,***
texts_in_train_set,-0.3078,0.12,-2.566,0.013,-0.547,-0.068,*
